gameId,name,value
2,Main Story,0:0:0
2,Main + Sides,0:0:0
2,Completionist,0:0:0
2,All Styles,0:0:0
1,Main Story,9:30:0
1,Main + Sides,24:0:0
1,Completionist,50:30:0
1,All Styles,15:30:0
18,Main Story,8:0:0
18,Main + Sides,9:30:0
18,Completionist,17:30:0
18,All Styles,9:0:0
19,Main Story,19:0:0
19,Main + Sides,24:0:0
19,Completionist,36:30:0
19,All Styles,23:30:0
21,Main Story,21:0:0
21,Main + Sides,31:30:0
21,Completionist,47:0:0
21,All Styles,26:30:0
20,Main Story,20:0:0
20,Main + Sides,31:0:0
20,Completionist,47:0:0
20,All Styles,26:30:0
22,Main Story,17:0:0
22,Main + Sides,20:30:0
22,Completionist,29:0:0
22,All Styles,20:0:0
23,Main Story,29:0:0
23,Main + Sides,42:0:0
23,Completionist,0:0:0
23,All Styles,39:0:0
24,Main Story,15:0:0
24,Main + Sides,20:30:0
24,Completionist,30:0:0
24,All Styles,20:30:0
25,Main Story,17:30:0
25,Main + Sides,21:0:0
25,Completionist,22:0:0
25,All Styles,20:0:0
26,Main Story,16:0:0
26,Main + Sides,20:0:0
26,Completionist,24:30:0
26,All Styles,19:30:0
27,Main Story,6:30:0
27,Main + Sides,8:0:0
27,Completionist,10:0:0
27,All Styles,7:0:0
28,Main Story,0:20:0
28,Main + Sides,0:24:0
28,Completionist,0:29:0
28,All Styles,0:26:0
29,Main Story,3:0:0
29,Main + Sides,3:0:0
29,Completionist,0:0:0
29,All Styles,3:0:0
30,Main Story,0:48:0
30,Main + Sides,3:0:0
30,Completionist,0:0:0
30,All Styles,2:0:0
31,Main Story,0:0:0
31,Main + Sides,0:0:0
31,Completionist,0:0:0
31,All Styles,0:0:0
32,Main Story,1:0:0
32,Main + Sides,0:0:0
32,Completionist,1:0:0
32,All Styles,1:0:0
33,Main Story,0:30:0
33,Main + Sides,3:0:0
33,Completionist,4:0:0
33,All Styles,3:0:0
34,Main Story,0:37:0
34,Main + Sides,1:0:0
34,Completionist,1:30:0
34,All Styles,1:0:0
35,Main Story,0:0:0
35,Main + Sides,15:30:0
35,Completionist,0:0:0
35,All Styles,15:30:0
36,Main Story,0:0:0
36,Main + Sides,0:0:0
36,Completionist,0:0:0
36,All Styles,0:0:0
37,Main Story,4:0:0
37,Main + Sides,4:30:0
37,Completionist,5:30:0
37,All Styles,5:0:0
38,Main Story,6:0:0
38,Main + Sides,7:30:0
38,Completionist,9:0:0
38,All Styles,7:30:0
39,Main Story,1:30:0
39,Main + Sides,2:30:0
39,Completionist,20:0:0
39,All Styles,5:30:0
40,Main Story,4:30:0
40,Main + Sides,7:0:0
40,Completionist,8:0:0
40,All Styles,6:30:0
41,Main Story,3:0:0
41,Main + Sides,8:30:0
41,Completionist,11:30:0
41,All Styles,5:0:0
42,Main Story,2:30:0
42,Main + Sides,10:0:0
42,Completionist,9:0:0
42,All Styles,7:30:0
43,Main Story,0:0:0
43,Main + Sides,0:0:0
43,Completionist,0:0:0
43,All Styles,0:0:0
44,Main Story,0:0:0
44,Main + Sides,0:0:0
44,Completionist,0:0:0
44,All Styles,0:0:0
45,Main Story,0:0:0
45,Main + Sides,0:0:0
45,Completionist,0:0:0
45,All Styles,0:0:0
46,Main Story,6:30:0
46,Main + Sides,7:0:0
46,Completionist,12:0:0
46,All Styles,7:30:0
48,Main Story,0:52:0
48,Main + Sides,2:0:0
48,Completionist,2:0:0
48,All Styles,1:0:0
49,Main Story,0:0:0
49,Main + Sides,0:0:0
49,Completionist,0:0:0
49,All Styles,0:0:0
50,Main Story,21:0:0
50,Main + Sides,25:0:0
50,Completionist,224:0:0
50,All Styles,56:30:0
51,Main Story,0:5:0
51,Main + Sides,0:18:0
51,Completionist,0:25:0
51,All Styles,0:15:0
52,Main Story,0:15:0
52,Main + Sides,0:15:0
52,Completionist,0:0:0
52,All Styles,0:15:0
54,Main Story,2:0:0
54,Main + Sides,3:0:0
54,Completionist,3:0:0
54,All Styles,2:0:0
55,Main Story,1:0:0
55,Main + Sides,0:0:0
55,Completionist,0:0:0
55,All Styles,1:0:0
56,Main Story,1:0:0
56,Main + Sides,1:0:0
56,Completionist,2:0:0
56,All Styles,1:0:0
57,Main Story,0:46:0
57,Main + Sides,0:49:0
57,Completionist,0:0:0
57,All Styles,0:49:0
60,Single-Player,16:30:0
60,Co-Op,25:0:0
60,Vs.,0:0:0
58,Main Story,0:0:0
58,Main + Sides,0:15:0
58,Completionist,0:0:0
58,All Styles,0:15:0
59,Main Story,0:37:0
59,Main + Sides,0:0:0
59,Completionist,4:0:0
59,All Styles,0:42:0
61,Main Story,11:0:0
61,Main + Sides,12:30:0
61,Completionist,0:0:0
61,All Styles,11:0:0
62,Main Story,4:30:0
62,Main + Sides,4:30:0
62,Completionist,6:30:0
62,All Styles,5:0:0
63,Main Story,1:0:0
63,Main + Sides,2:0:0
63,Completionist,2:30:0
63,All Styles,2:0:0
65,Main Story,1:0:0
65,Main + Sides,2:0:0
65,Completionist,0:0:0
65,All Styles,2:0:0
66,Main Story,3:0:0
66,Main + Sides,3:30:0
66,Completionist,3:30:0
66,All Styles,3:30:0
69,Main Story,16:0:0
69,Main + Sides,21:30:0
69,Completionist,29:0:0
69,All Styles,20:0:0
70,Main Story,0:0:0
70,Main + Sides,0:0:0
70,Completionist,0:0:0
70,All Styles,0:0:0
71,Main Story,4:0:0
71,Main + Sides,4:0:0
71,Completionist,4:0:0
71,All Styles,4:0:0
72,Main Story,0:0:0
72,Main + Sides,0:0:0
72,Completionist,20:0:0
72,All Styles,20:0:0
74,Main Story,74:30:0
74,Main + Sides,0:0:0
74,Completionist,0:0:0
74,All Styles,74:30:0
75,Main Story,0:44:0
75,Main + Sides,0:0:0
75,Completionist,3:30:0
75,All Styles,1:0:0
76,Main Story,1:0:0
76,Main + Sides,4:30:0
