gameId,gameName,playCount,backlogCount,replayCount,retiredPercentage,rating,completedCount
2,Beyond Good & Evil 2,1,80,0,0.0,100.0,0
1,688(I) Hunter/Killer,0,76,2,15.7,0.0,10
18,'Splosion Man,1,296,14,8.4,74.0,174
19,.hack//G.U. Vol. 1: Rebirth,1,312,10,2.2,76.0,266
21,.hack//G.U. Vol. 3: Redemption,0,289,4,1.4,77.0,131
20,.hack//G.U. Vol. 2: Reminisce,0,290,4,1.3,78.0,161
22,.hack//Infection,5,528,20,2.6,73.0,363
23,.hack//Link,0,74,2,6.0,65.0,5
24,.hack//Mutation,3,376,10,1.0,74.0,195
25,.hack//Outbreak,0,353,11,0.8,72.0,153
26,.hack//Quarantine,0,341,7,0.9,72.0,117
27,007 Legends,1,164,7,5.6,48.0,173
28,007 Legends: Skyfall DLC,0,18,3,2.3,38.0,24
29,007 Racing,1,35,1,8.9,49.0,37
30,007: Licence to Kill,1,11,1,6.7,50.0,3
31,0D Beat Drop,0,4,1,16.7,0.0,1
32,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),2,394,3,35.0,36.0,86
33,GO Series: 10 Second Run,0,6,0,22.7,68.0,11
34,10-Yard Fight,3,21,1,12.5,45.0,35
35,100 All-Time Favorites,0,1,0,33.3,50.0,1
36,100 Rogues,0,3,1,33.3,53.0,1
37,1000 Amps,0,351,4,13.3,69.0,150
38,10000000,10,717,21,8.6,73.0,911
39,101-in-1 Explosive Megamix,0,6,1,16.7,58.0,4
40,102 Dalmatians: Puppies to the Rescue,1,64,5,5.0,67.0,165
41,1080 Snowboarding,0,196,7,9.2,71.0,221
42,1080° Avalanche,0,79,3,5.7,75.0,69
43,11eyes CrossOver,0,5,0,16.7,0.0,0
44,11eyes ~Tsumi to Batsu to Aganai no Shoujo~,1,6,0,7.7,78.0,6
45,11th Hour,0,1,0,0.0,0.0,0
46,15 Days,2,86,2,8.3,44.0,24
48,18 Wheeler: American Pro Trucker,2,48,0,6.0,57.0,46
49,18 Wheels Across America,0,1,0,0.0,0.0,0
50,18 Wheels of Steel: American Long Haul,1,86,2,23.3,59.0,13
51,1916 - Der unbekannte Krieg,0,5,0,7.1,63.0,8
52,1924,0,0,0,0.0,40.0,6
54,1942,5,79,1,9.3,58.0,116
55,1942: Joint Strike,0,44,5,5.5,66.0,25
56,1943: The Battle of Midway,6,109,2,5.1,59.0,113
57,1944: The Loop Master,0,17,1,0.0,71.0,51
60,2010 FIFA World Cup South Africa,0,55,7,13.0,68.0,112
58,1991 Du Ma Racing,0,2,0,20.0,20.0,2
59,19XX: The War Against Destiny,0,19,1,0.0,68.0,49
61,24: The Game,0,77,0,2.2,63.0,57
62,25 To Life,1,41,3,3.7,57.0,89
63,3 on 3 NHL Arcade,0,15,6,18.6,71.0,42
