gameId,name,value
2,Genre,Action
2,Genre,Adventure
2,Developer,Ubisoft Montpellier
2,Publisher,Ubisoft
2,Alias,Beyond Good and Evil 2
1,Platform,PC
1,Genre,Simulation
1,Developer,Sonalysts
1,Publisher,Electronic Arts
18,Platform,Xbox 360
18,Genre,Action
18,Developer,Twisted Pixel Games
18,Publisher,Microsoft Games Studios
19,Platform,Nintendo Switch
19,Platform,PC
19,Platform,PlayStation 2
19,Platform,PlayStation 4
19,Genre,Action
19,Genre,Role-Playing
19,Developer,CyberConnect2
19,Publisher,Bandai
21,Platform,Nintendo Switch
21,Platform,PC
21,Platform,PlayStation 2
21,Platform,PlayStation 4
21,Genre,Action
21,Genre,Role-Playing
21,Developer,CyberConnect2
21,Publisher,Bandai
20,Platform,Nintendo Switch
20,Platform,PC
20,Platform,PlayStation 2
20,Platform,PlayStation 4
20,Genre,Action
20,Genre,Role-Playing
20,Developer,CyberConnect2
20,Publisher,Bandai
22,Platform, PlayStation 2
22,Genre,Action
22,Genre,role-playing
22,Developer,CyberConnect2 Co.
22,Developer,Ltd.
22,Publisher,Bandai S.A.
23,Platform,PlayStation Portable
23,Genre,Role-Playing
23,Developer,CyberConnect2
23,Publisher,Namco Bandai Games
24,Platform, PlayStation 2
24,Genre,Action
24,Genre,role-playing
24,Developer,CyberConnect2
24,Publisher,Bandai Games
25,Platform, PlayStation 2
25,Genre,Action RPG
25,Developer,CyberConnect2
25,Publisher,Bandai
26,Platform,PlayStation 2
26,Developer,CyberConnect2
26,Publisher,Bandai
27,Platform,PC
27,Platform,PlayStation 3
27,Platform,Wii U
27,Platform,Xbox 360
27,Genre,First-Person
27,Genre,Shooter
27,Developer,Eurocom
27,Publisher,Activision
28,Platform,PC
28,Platform,PlayStation 3
28,Platform,Wii U
28,Platform,Xbox 360
28,Genre,First-Person
28,Genre,Shooter
28,Developer,Eurocom
28,Publisher,Activision
29,Platform,PlayStation
29,Genre,Racing/Driving
29,Developer,Eutechnyx
29,Publisher,Electronic Arts
30,Genre,Top-Down
30,Genre,Shooter
30,Developer,Quixel
30,Publisher,Domark
30,Alias,License to Kill 
30,Alias,James Bond 007: Lupa tappaa
31,Platform,Xbox 360
31,Genre,Puzzle
31,Developer,Arc System Works
32,Platform,PC
32,Genre,Music
32,Developer,Dejobaan Games
32,Publisher,Dejobaan Games
33,Platform,Nintendo 3DS
33,Platform,Nintendo DS
33,Genre,Platform
33,Developer,GAMEBRIDGE
34,Platform,Arcade
34,Platform,NES
34,Genre,Sports
34,Developer,Irem
34,Publisher,Irem
34,Publisher,Nintendo of America
35,Genre,Card Game
35,Genre,Puzzle
35,Publisher,Ubisoft
36,Genre,Roguelike
36,Developer,Dinofarm Games
36,Publisher,Fusion Reactions
37,Platform,PC
37,Genre,Adventure
37,Genre,Platform
37,Genre,Puzzle
37,Developer,Brandon Brizzi
37,Publisher,Brandon Brizzi
38,Platform,Mobile
38,Platform,PC
38,Genre,Puzzle
38,Genre,Role-Playing
38,Developer,EightyEight Games
38,Publisher,EightyEight Games
38,Alias,"10,000,000"
39,Platform,Nintendo DS
39,Genre,Various
39,Developer,Nordcurrent
39,Publisher,Atlus
40,Platform,Dreamcast
40,Platform,Game Boy Color
40,Platform,PC
40,Platform,PlayStation
40,Genre,Action
40,Genre,Platformer
40,Developer,Crystal Dynamics
40,Developer,Toys for Bob
40,Publisher,Eidos Interactive
41,Platform,Nintendo 64
41,Platform,Wii
41,Platform,Wii U
41,Genre,Racing/Driving
41,Developer,Nintendo EAD
41,Publisher,Nintendo
41,Alias,1080° Snowboarding
42,Platform,Nintendo GameCube
42,Genre,Arcade
42,Genre,Sports
42,Developer,NST
42,Publisher,Nintendo
42,Alias,1080° Silverstorm
43,Genre,Visual Novel
43,Developer,Lass
43,Publisher,5pb.
44,Platform,PC
44,Genre,Visual Novel
44,Developer,Lass
44,Publisher,M-trix
44,Publisher,Lass
44,Publisher,5pb.
46,Platform,PC
46,Genre,Adventure
46,Genre,Role-Playing
46,Developer,House of Tales Entertainment
46,Publisher,Lace Mamba Global
46,Publisher,dtp entertainment
48,Platform,Dreamcast
48,Platform,Nintendo GameCube
