gameId,name,polled,main,side,complete,fastest,slowest
1,PC,9,10:18:0,53:36:0,27:0:0,7:34:0,120:50:0
18,Xbox 360,56,7:55:0,9:14:0,18:46:0,3:0:0,28:0:0
18,Xbox One,3,6:18:0,0:0:0,0:0:0,4:29:0,8:0:0
19,Emulated,1,18:53:0,0:0:0,0:0:0,18:53:0,18:53:0
19,Nintendo Switch,5,17:28:0,16:30:0,0:0:0,10:57:0,24:0:0
19,PC,41,15:29:0,21:21:0,34:27:0,7:0:0,43:44:0
19,PlayStation 2,59,23:58:0,30:3:0,38:31:0,10:0:0,58:54:0
19,PlayStation 4,51,15:26:0,23:36:0,34:54:0,8:30:0,50:0:0
21,Emulated,1,17:23:0,0:0:0,0:0:0,17:23:0,17:23:0
21,Nintendo Switch,1,0:0:0,18:0:0,0:0:0,18:0:0,18:0:0
21,PC,12,17:54:0,24:24:0,30:17:0,11:24:0,35:18:0
21,PlayStation 2,29,25:37:0,36:44:0,53:23:0,9:54:0,60:0:0
21,PlayStation 4,19,18:47:0,27:33:0,40:46:0,9:7:0,47:47:0
20,Emulated,1,18:20:0,0:0:0,0:0:0,18:20:0,18:20:0
20,PC,19,15:51:0,25:8:0,38:24:0,10:54:0,45:0:0
20,PlayStation 2,34,23:18:0,38:45:0,56:7:0,9:7:0,76:21:0
20,PlayStation 4,24,18:54:0,25:53:0,42:22:0,9:28:0,60:0:0
22,Emulated,17,16:3:0,21:11:0,0:0:0,10:5:0,40:56:0
22,PlayStation 2,132,17:19:0,20:36:0,27:47:0,7:57:0,41:17:0
23,PlayStation Portable,3,28:54:0,42:14:0,0:0:0,28:54:0,44:28:0
24,Emulated,9,13:7:0,22:59:0,0:0:0,8:48:0,45:52:0
24,PlayStation 2,60,16:9:0,20:55:0,30:4:0,7:44:0,52:0:0
25,Emulated,6,15:55:0,22:11:0,0:0:0,13:0:0,29:5:0
25,PlayStation 2,45,18:25:0,21:41:0,21:47:0,8:45:0,44:46:0
26,Emulated,7,16:6:0,19:16:0,0:0:0,9:40:0,23:26:0
26,PlayStation 2,34,16:48:0,20:32:0,24:16:0,9:30:0,30:0:0
27,PC,29,6:14:0,7:46:0,9:52:0,4:30:0,10:46:0
27,PlayStation 3,20,7:25:0,6:7:0,0:0:0,4:25:0,15:0:0
27,Wii U,17,7:14:0,9:36:0,10:18:0,5:30:0,12:19:0
27,Xbox 360,18,5:58:0,8:35:0,9:53:0,3:30:0,10:0:0
28,PC,4,0:26:0,0:0:0,0:25:0,0:15:0,0:38:0
28,PlayStation 3,2,0:0:0,0:20:0,0:24:0,0:20:0,0:24:0
28,Wii U,2,0:30:0,0:0:0,0:0:0,0:30:0,0:30:0
28,Xbox 360,2,0:31:0,0:0:0,0:0:0,0:18:0,0:45:0
29,Emulated,1,3:0:0,0:0:0,0:0:0,3:0:0,3:0:0
29,PlayStation,11,3:11:0,3:0:0,0:0:0,1:55:0,5:28:0
30,PC,1,0:48:0,0:0:0,0:0:0,0:48:0,0:48:0
32,PC,11,0:59:0,0:0:0,1:12:0,0:19:0,2:0:0
33,Nintendo 3DS,3,0:30:0,3:21:0,1:1:0,0:30:0,3:21:0
33,Nintendo DS,3,0:0:0,5:52:0,5:19:0,1:36:0,10:9:0
34,Arcade,1,0:30:0,0:0:0,0:0:0,0:30:0,0:30:0
34,Emulated,1,0:21:0,0:0:0,0:0:0,0:21:0,0:21:0
34,NES,20,0:50:0,0:50:0,1:36:0,0:19:0,2:8:0
37,PC,52,4:2:0,5:18:0,5:44:0,1:0:0,13:40:0
38,Mobile,47,4:28:0,6:0:0,5:8:0,1:55:0,10:0:0
38,PC,258,6:54:0,8:2:0,10:58:0,1:13:0,42:11:0
39,Nintendo DS,3,1:21:0,2:40:0,20:0:0,1:21:0,20:0:0
40,Dreamcast,6,3:41:0,7:0:0,7:55:0,2:53:0,10:30:0
40,Emulated,2,5:34:0,0:0:0,7:0:0,5:34:0,7:0:0
40,Game Boy Color,3,2:3:0,0:0:0,0:0:0,1:30:0,2:40:0
40,PC,5,0:0:0,6:10:0,11:59:0,5:20:0,20:16:0
40,PlayStation,20,5:57:0,6:51:0,7:15:0,4:19:0,9:0:0
40,PlayStation 2,1,6:0:0,0:0:0,0:0:0,6:0:0,6:0:0
41,Emulated,2,4:0:0,3:57:0,0:0:0,3:57:0,4:0:0
41,Nintendo 64,40,2:55:0,11:47:0,12:4:0,0:20:0,35:0:0
41,Nintendo Switch,2,1:49:0,0:0:0,0:0:0,1:6:0,2:32:0
41,Wii,1,3:0:0,0:0:0,0:0:0,3:0:0,3:0:0
41,Wii U,3,2:36:0,0:0:0,0:0:0,1:52:0,3:7:0
42,Emulated,4,1:4:0,0:0:0,8:12:0,1:0:0,8:25:0
42,Nintendo GameCube,22,3:17:0,16:54:0,9:32:0,0:49:0,22:30:0
46,PC,11,7:32:0,12:15:0,6:30:0,6:0:0,16:20:0
48,Dreamcast,6,0:49:0,0:0:0,0:0:0,0:23:0,1:6:0
48,Emulated,3,0:35:0,0:0:0,0:45:0,0:30:0,0:45:0
48,Nintendo GameCube,4,0:37:0,1:52:0,0:0:0,0:27:0,1:52:0
48,PlayStation 2,5,1:13:0,0:0:0,2:0:0,0:43:0,2:0:0
50,PC,6,20:55:0,25:0:0,223:57:0,10:0:0,422:54:0
51,Browser,1,0:0:0,0:18:0,0:0:0,0:18:0,0:18:0
51,PC,3,0:6:0,0:0:0,0:25:0,0:5:0,0:25:0
52,Browser,6,0:8:0,0:8:0,0:0:0,0:6:0,0:10:0
54,Arcade,15,1:46:0,5:2:0,5:37:0,1:5:0,7:15:0
54,Emulated,2,1:58:0,0:0:0,0:0:0,1:34:0,2:22:0
54,Game Boy Color,2,1:31:0,0:0:0,0:0:0,1:0:0,2:3:0
54,NES,32,2:8:0,2:38:0,2:21:0,1:0:0,4:12:0
54,Nintendo Switch,2,1:34:0,0:0:0,0:0:0,1:8:0,2:0:0
55,PlayStation 3,4,1:10:0,0:0:0,0:0:0,0:31:0,1:40:0
55,Xbox 360,2,0:47:0,0:0:0,0:0:0,0:35:0,1:0:0
56,Arcade,17,0:54:0,0:0:0,0:0:0,0:18:0,1:30:0
56,Emulated,2,0:46:0,0:0:0,0:0:0,0:45:0,0:48:0
56,NES,9,1:55:0,1:41:0,3:0:0,1:30:0,4:1:0
56,Nintendo Switch,7,1:2:0,0:40:0,0:0:0,0:40:0,1:30:0
56,PC,9,1:58:0,0:0:0,1:30:0,0:50:0,8:0:0
56,TurboGrafx-16,1,6:15:0,0:0:0,0:0:0,6:15:0,6:15:0
57,Arcade,21,0:51:0,0:47:0,0:0:0,0:37:0,1:27:0
57,Emulated,2,0:55:0,0:0:0,0:0:0,0:39:0,1:11:0
57,Nintendo Switch,3,1:0:0,0:0:0,0:0:0,0:44:0,1:30:0
60,PlayStation 3,7,39:6:0,12:30:0,25:0:0,2:30:0,100:0:0
60,Wii,4,14:0:0,20:0:0,35:0:0,9:0:0,35:0:0
60,Xbox 360,4,7:40:0,20:0:0,0:0:0,6:0:0,20:0:0
58,NES,1,0:0:0,0:10:0,0:0:0,0:10:0,0:10:0
59,Arcade,23,0:39:0,0:0:0,4:12:0,0:25:0,4:12:0
59,Emulated,1,0:40:0,0:0:0,0:0:0,0:40:0,0:40:0
59,Nintendo Switch,2,0:30:0,0:0:0,0:0:0,0:27:0,0:34:0
61,Emulated,1,13:26:0,0:0:0,0:0:0,13:26:0,13:26:0
61,PlayStation 2,13,10:43:0,13:0:0,0:0:0,8:15:0,16:0:0
62,Emulated,1,0:0:0,0:0:0,10:45:0,10:45:0,10:45:0
62,PC,8,4:42:0,4:24:0,11:0:0,3:48:0,11:0:0
62,PlayStation 2,10,4:47:0,5:11:0,0:0:0,2:34:0,8:15:0
62,Xbox,4,4:21:0,0:0:0,0:0:0,2:40:0,6:21:0
63,PlayStation 3,8,1:4:0,0:0:0,2:18:0,0:55:0,5:0:0
63,Xbox 360,6,1:30:0,2:0:0,3:18:0,1:0:0,6:0:0
65,NES,8,2:1:0,1:15:0,0:0:0,0:43:0,2:56:0
66,PC,3,3:24:0,3:35:0,3:6:0,3:6:0,3:35:0
69,PlayStation 3,100,15:42:0,21:54:0,29:42:0,6:45:0,46:31:0
71,PC,2,4:9:0,0:0:0,0:0:0,1:25:0,6:54:0
71,Xbox 360,5,4:0:0,4:0:0,4:0:0,4:0:0,4:0:0
74,PlayStation 2,2,74:34:0,0:0:0,0:0:0,70:0:0,79:8:0
75,PC,4,0:51:0,0:0:0,3:17:0,0:33:0,3:17:0
76,PlayStation,6,1:7:0,5:10:0,0:0:0,0:41:0,8:0:0
77,Nintendo 3DS,3,7:0:0,16:50:0,9:42:0,7:0:0,16:50:0
77,Nintendo DS,3,7:37:0,0:0:0,16:52:0,7:9:0,16:52:0
77,PC,57,8:26:0,10:4:0,10:40:0,5:45:0,18:28:0
77,PlayStation 3,2,0:0:0,11:0:0,8:0:0,8:0:0,11:0:0
79,Emulated,1,0:0:0,0:0:0,10:16:0,10:16:0,10:16:0
79,PC,1,0:0:0,11:0:0,0:0:0,11:0:0,11:0:0
79,PlayStation,10,7:10:0,10:0:0,9:56:0,3:40:0,14:9:0
80,Browser,5,0:25:0,0:39:0,0:0:0,0:19:0,0:45:0
80,PC,2,0:15:0,0:0:0,0:0:0,0:15:0,0:15:0
84,PC,13,2:41:0,0:0:0,2:48:0,1:30:0,4:25:0
83,PC,1,7:0:0,0:0:0,0:0:0,7:0:0,7:0:0
86,Emulated,2,6:30:0,8:0:0,0:0:0,6:30:0,8:0:0
86,PlayStation 2,16,5:55:0,5:50:0,24:46:0,3:0:0,39:47:0
86,PlayStation Portable,1,4:45:0,0:0:0,0:0:0,4:45:0,4:45:0
86,Xbox,5,7:7:0,0:0:0,0:0:0,5:0:0,9:15:0
85,Emulated,1,0:0:0,5:6:0,0:0:0,5:6:0,5:6:0
85,PlayStation 3,33,4:50:0,7:51:0,8:40:0,2:59:0,11:55:0
85,Xbox 360,34,5:32:0,6:19:0,10:17:0,3:0:0,12:0:0
85,Xbox Series X/S,1,0:0:0,7:0:0,0:0:0,7:0:0,7:0:0
87,PC,3,0:13:0,0:0:0,0:0:0,0:11:0,0:15:0
88,PC,9,2:49:0,0:0:0,2:56:0,1:30:0,4:30:0
89,Browser,4,0:10:0,0:0:0,0:29:0,0:10:0,0:29:0
90,Browser,9,0:6:0,0:38:0,0:5:0,0:0:0,0:38:0
93,PC,8,2:47:0,0:0:0,2:58:0,1:0:0,4:6:0
94,PC,12,7:2:0,5:5:0,6:30:0,3:36:0,8:16:0
95,PC,18,6:8:0,3:56:0,6:36:0,3:9:0,17:2:0
96,PC,24,5:0:0,4:14:0,8:34:0,2:43:0,17:30:0
96,PlayStation Portable,1,2:46:0,0:0:0,0:0:0,2:46:0,2:46:0
97,PC,37,6:25:0,9:25:0,11:59:0,4:0:0,24:0:0
98,Nintendo DS,1,5:44:0,0:0:0,0:0:0,5:44:0,5:44:0
98,PC,12,7:44:0,9:0:0,6:50:0,4:58:0,9:0:0
100,NES,1,0:0:0,0:0:0,3:0:0,3:0:0,3:0:0
101,Emulated,1,0:0:0,0:0:0,77:56:0,77:56:0,77:56:0
101,Nintendo DS,10,34:18:0,50:41:0,90:32:0,20:0:0,100:0:0
102,PlayStation Portable,23,32:47:0,32:43:0,38:15:0,22:35:0,47:29:0
102,PlayStation Vita,1,0:0:0,37:10:0,0:0:0,37:10:0,37:10:0
103,PlayStation Portable,7,29:57:0,37:42:0,37:30:0,29:57:0,43:34:0
105,PC,18,1:4:0,2:20:0,4:23:0,0:36:0,6:0:0
104,Emulated,1,5:0:0,0:0:0,0:0:0,5:0:0,5:0:0
104,NES,9,2:0:0,2:38:0,8:10:0,1:15:0,8:10:0
107,PC,5,11:34:0,11:0:0,8:6:0,4:0:0,17:30:0
110,PC,10,7:39:0,11:2:0,31:31:0,6:58:0,110:9:0
111,Emulated,26,14:41:0,15:58:0,22:3:0,7:0:0,30:52:0
111,Mobile,6,11:7:0,12:0:0,21:0:0,10:19:0,21:0:0
111,Nintendo 3DS,92,10:56:0,20:21:0,23:30:0,4:19:0,51:45:0
111,Nintendo DS,435,10:33:0,18:9:0,22:7:0,2:0:0,36:52:0
111,PC,348,10:14:0,16:17:0,20:3:0,2:0:0,53:0:0
111,PlayStation 4,76,10:6:0,16:28:0,18:58:0,2:30:0,40:20:0
111,PlayStation 5,7,8:48:0,20:0:0,15:40:0,5:24:0,20:0:0
111,PlayStation Vita,31,10:53:0,14:40:0,18:42:0,3:19:0,25:0:0
111,Xbox One,14,7:14:0,14:58:0,16:47:0,3:0:0,20:0:0
111,Xbox Series X/S,6,8:15:0,9:47:0,18:30:0,8:15:0,24:37:0
114,Browser,1,0:15:0,0:0:0,0:0:0,0:15:0,0:15:0
114,PC,2,0:13:0,0:17:0,0:0:0,0:13:0,0:17:0
115,PC,1,4:0:0,0:0:0,0:0:0,4:0:0,4:0:0
116,PC,1,0:0:0,15:45:0,0:0:0,15:45:0,15:45:0
117,Browser,6,0:28:0,0:0:0,0:27:0,0:21:0,0:40:0
119,Nintendo Switch,1,0:0:0,11:46:0,0:0:0,11:46:0,11:46:0
119,PC,35,10:15:0,11:30:0,19:30:0,5:50:0,30:0:0
119,PlayStation 3,1,0:0:0,0:0:0,20:33:0,20:33:0,20:33:0
119,PlayStation 4,8,9:12:0,11:0:0,14:39:0,8:36:0,18:0:0
119,PlayStation 5,1,0:0:0,0:0:0,17:0:0,17:0:0,17:0:0
119,PlayStation Vita,2,10:0:0,10:0:0,0:0:0,10:0:0,10:0:0
119,Wii,20,9:49:0,12:3:0,14:57:0,6:30:0,20:0:0
119,Xbox One,1,0:0:0,0:0:0,19:21:0,19:21:0,19:21:0
120,NES,16,0:49:0,2:26:0,2:41:0,0:17:0,4:58:0
121,Nintendo 64,7,6:38:0,11:30:0,7:43:0,3:3:0,13:0:0
121,PC,2,3:55:0,0:0:0,12:0:0,3:55:0,12:0:0
121,PlayStation,42,5:41:0,9:59:0,11:35:0,2:59:0,28:34:0
121,PlayStation 2,1,0:0:0,0:0:0,22:0:0,22:0:0,22:0:0
122,PlayStation,1,3:0:0,0:0:0,0:0:0,3:0:0,3:0:0
124,Browser,5,0:5:0,0:0:0,0:11:0,0:5:0,0:15:0
127,PC,5,35:0:0,68:30:0,35:30:0,30:0:0,90:0:0
128,PC,8,10:24:0,19:16:0,63:0:0,9:0:0,63:0:0
130,Nintendo Switch,96,9:9:0,15:22:0,21:3:0,3:43:0,46:0:0
130,PC,1200,9:59:0,16:14:0,21:9:0,3:31:0,96:58:0
130,PlayStation 4,107,9:9:0,13:56:0,16:54:0,5:0:0,38:0:0
130,PlayStation 5,14,7:21:0,9:28:0,12:41:0,5:30:0,18:0:0
130,Xbox One,16,12:20:0,14:47:0,16:36:0,5:9:0,25:0:0
130,Xbox Series X/S,11,9:57:0,21:53:0,46:41:0,7:5:0,60:0:0
131,PC,4,6:16:0,0:0:0,0:0:0,4:20:0,8:24:0
131,Xbox 360,23,5:19:0,13:37:0,29:23:0,1:50:0,112:38:0
131,Xbox One,1,0:0:0,17:0:0,0:0:0,17:0:0,17:0:0
132,PC,1,5:40:0,0:0:0,0:0:0,5:40:0,5:40:0
134,PC,204,9:56:0,9:45:0,10:44:0,4:0:0,21:0:0
136,Emulated,1,6:0:0,0:0:0,0:0:0,6:0:0,6:0:0
136,NES,9,1:40:0,1:21:0,3:30:0,0:47:0,5:39:0
137,PlayStation Portable,3,5:27:0,0:0:0,20:0:0,4:54:0,20:0:0
137,PlayStation Vita,1,0:0:0,9:24:0,0:0:0,9:24:0,9:24:0
138,PC,4,9:0:0,7:45:0,7:0:0,7:0:0,9:0:0
139,PC,1,0:0:0,0:0:0,8:24:0,8:24:0,8:24:0
140,PC,15,17:15:0,13:0:0,58:19:0,6:0:0,92:0:0
141,PC,5,10:3:0,11:0:0,24:7:0,10:0:0,24:7:0
142,PC,18,8:34:0,8:20:0,7:39:0,3:42:0,22:12:0
143,PC,49,4:24:0,11:8:0,21:20:0,2:0:0,25:0:0
143,PlayStation Vita,2,3:20:0,0:0:0,0:0:0,2:40:0,4:0:0
144,PC,13,5:1:0,6:43:0,13:39:0,2:11:0,14:25:0
144,Xbox Series X/S,1,2:44:0,0:0:0,0:0:0,2:44:0,2:44:0
145,Nintendo DS,7,16:54:0,16:4:0,38:5:0,14:3:0,53:33:0
146,PC,3,0:0:0,6:36:0,8:52:0,6:36:0,10:0:0
146,Xbox 360,31,7:17:0,13:19:0,14:16:0,5:1:0,30:0:0
146,Xbox One,3,7:29:0,10:0:0,0:0:0,7:29:0,10:0:0
149,PC,3,9:31:0,0:0:0,0:0:0,6:6:0,14:11:0
152,PC,108,2:32:0,3:32:0,10:44:0,1:5:0,19:56:0
152,Xbox 360,1,0:0:0,0:0:0,10:0:0,10:0:0,10:0:0
153,PC,24,4:23:0,6:15:0,32:0:0,2:0:0,41:0:0
154,Mobile,1,5:0:0,0:0:0,0:0:0,5:0:0,5:0:0
