gameId,region,date
1,NA,1997-07-04
18,NA,2009-07-22
18,EU,2009-07-22
19,NA,2006-10-24
19,JP,2006-05-18
21,NA,2008-03-25
21,JP,2007-01-18
20,NA,2007-05-08
20,JP,2006-09-28
22,NA,2003-02-11
23,JP,2010-03-04
24,NA,2003-05-07
24,JP,2002-09-09
25,NA,2003-09-09
25,EU,2004-09-10
25,JP,2002-12-12
26,NA,2004-01-20
26,EU,2004-12-03
26,JP,2003-04-10
27,NA,2012-10-16
27,EU,2012-10-19
28,NA,2012-09-11
29,NA,2000-11-20
29,EU,2000-12-15
30,NA,1989-04-20
30,EU,1989-04-20
31,NA,2009-11-11
32,NA,2011-04-01
33,NA,2010-09-20
34,NA,1985-10-01
34,JP,1985-08-30
36,NA,2010-05-04
37,NA,2012-02-22
38,NA,2012-08-29
39,NA,2009-04-21
39,EU,2008-11-28
40,NA,2000-11-15
41,NA,1998-04-01
41,JP,1998-02-28
42,NA,2003-12-01
42,JP,2004-01-22
43,JP,2009-04-02
44,JP,2008-04-05
46,EU,2010-06-25
48,NA,2001-05-25
48,EU,2001-06-01
48,JP,2000-10-12
50,NA,2007-12-03
54,NA,1984-12-01
54,EU,1984-12-01
54,JP,1984-12-01
55,NA,2008-07-23
55,EU,2008-07-23
56,NA,1987-06-01
56,EU,1987-06-01
56,JP,1987-06-01
57,NA,2000-06-20
57,JP,2000-06-20
60,NA,2010-04-27
60,EU,2010-04-30
58,JP,1991-01-01
59,NA,1996-12-07
59,EU,1995-12-18
59,JP,1995-12-25
61,NA,2006-02-27
61,EU,2006-03-17
62,NA,2006-01-17
62,EU,2007-06-01
63,NA,2009-02-11
63,EU,2009-02-11
65,NA,1987-09-01
65,JP,1987-03-12
66,NA,2011-01-01
69,NA,2010-05-11
69,EU,2010-05-14
69,JP,2009-11-05
71,NA,2007-04-18
72,NA,2006-12-20
74,JP,2005-07-28
75,NA,2012-03-29
76,NA,1999-04-21
77,NA,2008-09-03
78,NA,1994-11-01
78,EU,1994-01-01
79,NA,1999-11-14
79,EU,1999-11-01
84,NA,2003-09-29
83,NA,2009-06-15
83,EU,2008-04-04
86,NA,2005-11-17
86,EU,2005-11-25
85,NA,2009-02-24
85,EU,2009-02-20
87,NA,2002-02-16
88,NA,2007-01-25
93,NA,2004-07-27
93,EU,2004-07-27
94,NA,2012-04-11
95,NA,2008-06-10
96,NA,2007-02-02
97,NA,2012-10-24
97,EU,2012-10-24
98,NA,2008-10-24
100,NA,1986-12-01
101,JP,2009-03-05
102,JP,2011-11-23
103,JP,2013-04-18
105,NA,2011-07-09
104,NA,1990-01-01
104,JP,1988-09-27
107,NA,2005-12-12
107,EU,2005-10-17
108,NA,2010-05-11
109,EU,2001-10-25
110,NA,2013-02-26
111,NA,2010-11-16
111,EU,2014-03-17
111,JP,2009-12-10
112,EU,2014-10-02
114,NA,2000-02-10
115,NA,2009-12-03
116,NA,2012-01-01
116,EU,2012-01-01
119,NA,2009-10-13
119,EU,2009-11-06
120,NA,1990-01-01
120,EU,1991-07-01
120,JP,1990-11-29
121,NA,1998-11-18
121,EU,1998-11-06
122,NA,1998-09-30
125,NA,2009-11-11
127,NA,2012-01-01
128,NA,2011-09-29
128,EU,2011-09-29
130,NA,2017-10-05
130,EU,2017-10-05
131,NA,2008-11-19
132,NA,1985-08-14
133,NA,2012-01-01
134,NA,2011-05-20
136,NA,1990-10-01
137,NA,2010-12-21
137,EU,2010-12-21
138,NA,2009-02-13
139,NA,2007-07-15
140,NA,2012-04-23
141,NA,2013-02-18
142,NA,2008-12-02
142,EU,2008-11-21
143,NA,2012-08-01
143,EU,2012-08-01
144,NA,2013-11-07
144,EU,2013-11-07
145,NA,2009-10-06
145,JP,2009-05-28
146,NA,2010-12-22
148,NA,1985-01-01
149,NA,2010-01-22
150,NA,2012-11-01
152,NA,2011-01-19
152,EU,2011-01-19
153,NA,2009-09-03
154,NA,2011-11-24
154,EU,2011-11-24
156,NA,1990-03-01
156,EU,1998-04-06
156,JP,1989-12-15
157,JP,2001-11-29
159,NA,2012-01-11
161,NA,1996-01-01
162,NA,1998-04-14
163,NA,2008-11-02
163,EU,2008-12-19
